语料ID,语料,人工领域,人工意图,人工领域ID,人工意图ID,人工标注,人工槽位,匹配模式,平台领域,平台意图,平台领域ID,平台意图ID,平台标注,平台槽位,Domain Score,Intent Score,Pattern Score,GUID
1363673958329540608,新疆嘉山县的天气,tianqi_5-1362970384020725760,general_search,1362970384020725760,1362970530309693440,<location>新疆嘉山县</location>的天气,"[{""origin_value"": """", ""origin_offset"": 0, ""value"": ""新疆嘉山县"", ""name"": ""location"", ""entity_source"": 0}]",,other_failed,other_failed,-1,-1,新疆嘉山县的天气,[],0.0,0.0,0.0,11576_auto_test_aie_bvt_guid_39f6d58af90a4ba0a52cbd04971cead0
1363673958165962752,帮助我查一下明天的天气,tianqi_5-1362970384020725760,general_search,1362970384020725760,1362970530309693440,帮助我查一下<datetime>明天</datetime>的天气,"[{""origin_value"": """", ""origin_offset"": 6, ""value"": ""明天"", ""name"": ""datetime"", ""entity_source"": 0}]",,other_failed,other_failed,-1,-1,帮助我查一下明天的天气,[],0.0,0.0,0.0,11576_auto_test_aie_bvt_guid_9667092ea06f4a33b897e2f24c9190a4
1363673958002384896,襄汾县西贾乡天气预报,tianqi_5-1362970384020725760,general_search,1362970384020725760,1362970530309693440,<location>襄汾县西贾乡</location>天气预报,"[{""origin_value"": """", ""origin_offset"": 0, ""value"": ""襄汾县西贾乡"", ""name"": ""location"", ""entity_source"": 0}]",,other_failed,other_failed,-1,-1,襄汾县西贾乡天气预报,[],0.0,0.0,0.0,11576_auto_test_aie_bvt_guid_04d2efbb5cad439798f86b2571873021
1363673957851389952,惠阳区天气,tianqi_5-1362970384020725760,general_search,1362970384020725760,1362970530309693440,<location>惠阳区</location>天气,"[{""origin_value"": """", ""origin_offset"": 0, ""value"": ""惠阳区"", ""name"": ""location"", ""entity_source"": 0}]",,other_failed,other_failed,-1,-1,惠阳区天气,[],0.0,0.0,0.0,11576_auto_test_aie_bvt_guid_9ddf6abc2ee24cc09bf89ecf7a6d511c
1363673957788475392,明天天气预报三头,tianqi_5-1362970384020725760,general_search,1362970384020725760,1362970530309693440,<datetime>明天</datetime>天气预报三头,"[{""origin_value"": """", ""origin_offset"": 0, ""value"": ""明天"", ""name"": ""datetime"", ""entity_source"": 0}]",,other_failed,other_failed,-1,-1,明天天气预报三头,[],0.0,0.0,0.0,11576_auto_test_aie_bvt_guid_f4e14ec15a9547ecb595bca3fbbc9f4e
1363673957637480448,同距日隆昌县天气怎么样,tianqi_5-1362970384020725760,general_search,1362970384020725760,1362970530309693440,同距日<location>隆昌县</location>天气怎么样,"[{""origin_value"": """", ""origin_offset"": 3, ""value"": ""隆昌县"", ""name"": ""location"", ""entity_source"": 0}]",,other_failed,other_failed,-1,-1,同距日隆昌县天气怎么样,[],0.0,0.0,0.0,11576_auto_test_aie_bvt_guid_e9a0578b3b814f75bf504918aeeabcbc
1363673957448736768,花溪天气好不好,tianqi_5-1362970384020725760,general_search,1362970384020725760,1362970530309693440,<location>花溪</location>天气好不好,"[{""origin_value"": """", ""origin_offset"": 0, ""value"": ""花溪"", ""name"": ""location"", ""entity_source"": 0}]",,other_failed,other_failed,-1,-1,花溪天气好不好,[],0.0,0.0,0.0,11576_auto_test_aie_bvt_guid_9de55c9e68bc458ea85bee661659b123
1363673957251604480,襄阳谷城天气,tianqi_5-1362970384020725760,general_search,1362970384020725760,1362970530309693440,<location>襄阳谷城</location>天气,"[{""origin_value"": """", ""origin_offset"": 0, ""value"": ""襄阳谷城"", ""name"": ""location"", ""entity_source"": 0}]",,other_failed,other_failed,-1,-1,襄阳谷城天气,[],0.0,0.0,0.0,11576_auto_test_aie_bvt_guid_d2efbc32f93d44c681e01ead36fd7bd8
1363673957117386752,神农架林区的天气,tianqi_5-1362970384020725760,general_search,1362970384020725760,1362970530309693440,<location>神农架林区</location>的天气,"[{""origin_value"": """", ""origin_offset"": 0, ""value"": ""神农架林区"", ""name"": ""location"", ""entity_source"": 0}]",,other_failed,other_failed,-1,-1,神农架林区的天气,[],0.0,0.0,0.0,11576_auto_test_aie_bvt_guid_3d36014ff301402f9224662eb90625a6
1363673956966391808,淮安区天气预报,tianqi_5-1362970384020725760,general_search,1362970384020725760,1362970530309693440,<location>淮安区</location>天气预报,"[{""origin_value"": """", ""origin_offset"": 0, ""value"": ""淮安区"", ""name"": ""location"", ""entity_source"": 0}]",,other_failed,other_failed,-1,-1,淮安区天气预报,[],0.0,0.0,0.0,11576_auto_test_aie_bvt_guid_dd5fd56b8f3842caa28f82b2de2b0e50
1363673956874117120,开封这几天的天气,tianqi_5-1362970384020725760,general_search,1362970384020725760,1362970530309693440,<location>开封</location><datetime>这几天</datetime>的天气,"[{""origin_value"": """", ""origin_offset"": 0, ""value"": ""开封"", ""name"": ""location"", ""entity_source"": 0}, {""origin_value"": """", ""origin_offset"": 2, ""value"": ""这几天"", ""name"": ""datetime"", ""entity_source"": 0}]",,other_failed,other_failed,-1,-1,开封这几天的天气,[],0.0,0.0,0.0,11576_auto_test_aie_bvt_guid_ac4440f0f1df451097c7f9f31c6ed2f4
1363673956656013312,商洛镇安今天的天气,tianqi_5-1362970384020725760,general_search,1362970384020725760,1362970530309693440,<location>商洛镇安</location><datetime>今天</datetime>的天气,"[{""origin_value"": """", ""origin_offset"": 0, ""value"": ""商洛镇安"", ""name"": ""location"", ""entity_source"": 0}, {""origin_value"": """", ""origin_offset"": 4, ""value"": ""今天"", ""name"": ""datetime"", ""entity_source"": 0}]",,other_failed,other_failed,-1,-1,商洛镇安今天的天气,[],0.0,0.0,0.0,11576_auto_test_aie_bvt_guid_31553820c636414b847b6fe76a6a4796
1363673956555350016,我是明天的天气,tianqi_5-1362970384020725760,general_search,1362970384020725760,1362970530309693440,我是<datetime>明天</datetime>的天气,"[{""origin_value"": """", ""origin_offset"": 2, ""value"": ""明天"", ""name"": ""datetime"", ""entity_source"": 0}]",,other_failed,other_failed,-1,-1,我是明天的天气,[],0.0,0.0,0.0,11576_auto_test_aie_bvt_guid_552cbc3144994478a4deba6ec071806c
1363673956395966464,5月6日大连天气,tianqi_5-1362970384020725760,general_search,1362970384020725760,1362970530309693440,<datetime>5月6日</datetime><location>大连</location>天气,"[{""origin_value"": """", ""origin_offset"": 0, ""value"": ""5月6日"", ""name"": ""datetime"", ""entity_source"": 0}, {""origin_value"": """", ""origin_offset"": 4, ""value"": ""大连"", ""name"": ""location"", ""entity_source"": 0}]",[datetime][location]天气,tianqi_5-1362970384020725760,general_search,1362970384020725760,1362970530309693440,<datetime>5月6日</datetime><location>大连</location>天气,"[{""origin_value"": ""5月6日"", ""origin_offset"": 0, ""value"": ""5月6日"", ""name"": ""datetime"", ""entity_source"": """"}, {""origin_value"": ""大连"", ""origin_offset"": 4, ""value"": ""大连"", ""name"": ""location"", ""entity_source"": 1}]",0.0,0.0,0.8849999904632568,11576_auto_test_aie_bvt_guid_22392dc3c5f74d63a2ab7fa6c0f88b78
1363673956148502528,隆德县天气,tianqi_5-1362970384020725760,general_search,1362970384020725760,1362970530309693440,<location>隆德县</location>天气,"[{""origin_value"": """", ""origin_offset"": 0, ""value"": ""隆德县"", ""name"": ""location"", ""entity_source"": 0}]",,other_failed,other_failed,-1,-1,隆德县天气,[],0.0,0.0,0.0,11576_auto_test_aie_bvt_guid_9a18ddc9dbad4fcf868d2e7b0c5952be
1363673955993313280,四川遂宁天气,tianqi_5-1362970384020725760,general_search,1362970384020725760,1362970530309693440,<location>四川遂宁</location>天气,"[{""origin_value"": """", ""origin_offset"": 0, ""value"": ""四川遂宁"", ""name"": ""location"", ""entity_source"": 0}]",,other_failed,other_failed,-1,-1,四川遂宁天气,[],0.0,0.0,0.0,11576_auto_test_aie_bvt_guid_3c9ea96e40f442de8e34fc8e0a4dc0d0
1363673955804569600,宝鸡眉县天气,tianqi_5-1362970384020725760,general_search,1362970384020725760,1362970530309693440,<location>宝鸡眉县</location>天气,"[{""origin_value"": """", ""origin_offset"": 0, ""value"": ""宝鸡眉县"", ""name"": ""location"", ""entity_source"": 0}]",,other_failed,other_failed,-1,-1,宝鸡眉县天气,[],0.0,0.0,0.0,11576_auto_test_aie_bvt_guid_76210ddcf7d447a78d1030b48d88c9d0
1363673955620020224,查看看天气预报,tianqi_5-1362970384020725760,general_search,1362970384020725760,1362970530309693440,查看看天气预报,[],,other_failed,other_failed,-1,-1,查看看天气预报,[],0.0,0.0,0.0,11576_auto_test_aie_bvt_guid_625e5dc7deb24d67b7f63e0ddc5c9050
1363673955519356928,请帮我查一下明天天气情况如何,tianqi_5-1362970384020725760,general_search,1362970384020725760,1362970530309693440,请帮我查一下<datetime>明天</datetime>天气情况如何,"[{""origin_value"": """", ""origin_offset"": 6, ""value"": ""明天"", ""name"": ""datetime"", ""entity_source"": 0}]",,other_failed,other_failed,-1,-1,请帮我查一下明天天气情况如何,[],0.0,0.0,0.0,11576_auto_test_aie_bvt_guid_24d373595258496b89c35bd2af482f76
1363673955297058816,上饶天气同,tianqi_5-1362970384020725760,general_search,1362970384020725760,1362970530309693440,<location>上饶</location>天气同,"[{""origin_value"": """", ""origin_offset"": 0, ""value"": ""上饶"", ""name"": ""location"", ""entity_source"": 0}]",,other_failed,other_failed,-1,-1,上饶天气同,[],0.0,0.0,0.0,11576_auto_test_aie_bvt_guid_4a2b7bdf6767406e9377d62ee18d9dce
1363673955238338560,郑州的天气我,tianqi_5-1362970384020725760,general_search,1362970384020725760,1362970530309693440,<location>郑州</location>的天气我,"[{""origin_value"": """", ""origin_offset"": 0, ""value"": ""郑州"", ""name"": ""location"", ""entity_source"": 0}]",,other_failed,other_failed,-1,-1,郑州的天气我,[],0.0,0.0,0.0,11576_auto_test_aie_bvt_guid_1c379abee81d4a1f8a363b5fbd2f4b07
1363673955070566400,七天安阳天气,tianqi_5-1362970384020725760,general_search,1362970384020725760,1362970530309693440,<datetime>七天</datetime><location>安阳</location>天气,"[{""origin_value"": """", ""origin_offset"": 0, ""value"": ""七天"", ""name"": ""datetime"", ""entity_source"": 0}, {""origin_value"": """", ""origin_offset"": 2, ""value"": ""安阳"", ""name"": ""location"", ""entity_source"": 0}]",[datetime][location]天气,tianqi_5-1362970384020725760,general_search,1362970384020725760,1362970530309693440,<datetime>七天</datetime><location>安阳</location>天气,"[{""origin_value"": ""七天"", ""origin_offset"": 0, ""value"": ""七天"", ""name"": ""datetime"", ""entity_source"": 1}, {""origin_value"": ""安阳"", ""origin_offset"": 2, ""value"": ""安阳"", ""name"": ""location"", ""entity_source"": 1}]",0.0,0.0,0.8966667056083679,11576_auto_test_aie_bvt_guid_ee7c5712162649bb92530414704e6352
1363673954919571456,许昌明天天气预报,tianqi_5-1362970384020725760,general_search,1362970384020725760,1362970530309693440,<location>许昌</location><datetime>明天</datetime>天气预报,"[{""origin_value"": """", ""origin_offset"": 0, ""value"": ""许昌"", ""name"": ""location"", ""entity_source"": 0}, {""origin_value"": """", ""origin_offset"": 2, ""value"": ""明天"", ""name"": ""datetime"", ""entity_source"": 0}]",,other_failed,other_failed,-1,-1,许昌明天天气预报,[],0.0,0.0,0.0,11576_auto_test_aie_bvt_guid_1296494f539e4bfdb673e1c2ec4cdbf8
1363673954781159424,赤峰市最新天气预报,tianqi_5-1362970384020725760,general_search,1362970384020725760,1362970530309693440,<location>赤峰市</location><datetime>最新</datetime>天气预报,"[{""origin_value"": """", ""origin_offset"": 0, ""value"": ""赤峰市"", ""name"": ""location"", ""entity_source"": 0}, {""origin_value"": """", ""origin_offset"": 3, ""value"": ""最新"", ""name"": ""datetime"", ""entity_source"": 0}]",,other_failed,other_failed,-1,-1,赤峰市最新天气预报,[],0.0,0.0,0.0,11576_auto_test_aie_bvt_guid_e7ca3c40d06047179f8066ae7551690e
1363673954609192960,北海后天的天气,tianqi_5-1362970384020725760,general_search,1362970384020725760,1362970530309693440,<location>北海</location><datetime>后天</datetime>的天气,"[{""origin_value"": """", ""origin_offset"": 0, ""value"": ""北海"", ""name"": ""location"", ""entity_source"": 0}, {""origin_value"": """", ""origin_offset"": 2, ""value"": ""后天"", ""name"": ""datetime"", ""entity_source"": 0}]",,other_failed,other_failed,-1,-1,北海后天的天气,[],0.0,0.0,0.0,11576_auto_test_aie_bvt_guid_7cd8a6bba670443a82cdb12261834680
1363673954487558144,修水天气微预报了,tianqi_5-1362970384020725760,general_search,1362970384020725760,1362970530309693440,<location>修水</location>天气微预报了,"[{""origin_value"": """", ""origin_offset"": 0, ""value"": ""修水"", ""name"": ""location"", ""entity_source"": 0}]",,other_failed,other_failed,-1,-1,修水天气微预报了,[],0.0,0.0,0.0,11576_auto_test_aie_bvt_guid_922e6f5a61234f44849b3251f202e528
1363673954353340416,西安天气怎么样啊,tianqi_5-1362970384020725760,general_search,1362970384020725760,1362970530309693440,<location>西安</location>天气怎么样啊,"[{""origin_value"": """", ""origin_offset"": 0, ""value"": ""西安"", ""name"": ""location"", ""entity_source"": 0}]",,other_failed,other_failed,-1,-1,西安天气怎么样啊,[],0.0,0.0,0.0,11576_auto_test_aie_bvt_guid_18c9c15ed68e47d08bf4e4c6d99e886d
1363673954256871424,会东天气,tianqi_5-1362970384020725760,general_search,1362970384020725760,1362970530309693440,<location>会东</location>天气,"[{""origin_value"": """", ""origin_offset"": 0, ""value"": ""会东"", ""name"": ""location"", ""entity_source"": 0}]",,other_failed,other_failed,-1,-1,会东天气,[],0.0,0.0,0.0,11576_auto_test_aie_bvt_guid_1bda00b2e3a44fb7b705684aaf4b2f2a
1363673954135236608,下明天的天气,tianqi_5-1362970384020725760,general_search,1362970384020725760,1362970530309693440,<datetime>下明天</datetime>的天气,"[{""origin_value"": """", ""origin_offset"": 0, ""value"": ""下明天"", ""name"": ""datetime"", ""entity_source"": 0}]",,other_failed,other_failed,-1,-1,下明天的天气,[],0.0,0.0,0.0,11576_auto_test_aie_bvt_guid_c6f1bdcc64af48a781e51b5bc773cf43
1363673954001018880,2月21天气怎样,tianqi_5-1362970384020725760,general_search,1362970384020725760,1362970530309693440,<datetime>2月21</datetime>天气怎样,"[{""origin_value"": """", ""origin_offset"": 0, ""value"": ""2月21"", ""name"": ""datetime"", ""entity_source"": 0}]",,other_failed,other_failed,-1,-1,2月21天气怎样,[],0.0,0.0,0.0,11576_auto_test_aie_bvt_guid_449a83b440104d18a914b863d0e4adb9
1363673953850023936,理县天气怎么样,tianqi_5-1362970384020725760,general_search,1362970384020725760,1362970530309693440,<location>理县</location>天气怎么样,"[{""origin_value"": """", ""origin_offset"": 0, ""value"": ""理县"", ""name"": ""location"", ""entity_source"": 0}]",,other_failed,other_failed,-1,-1,理县天气怎么样,[],0.0,0.0,0.0,11576_auto_test_aie_bvt_guid_18310c7e3f1e47d2b3333d4b5f64ccbe
1363673953690640384,沈阳新民天气如何,tianqi_5-1362970384020725760,general_search,1362970384020725760,1362970530309693440,<location>沈阳新民</location>天气如何,"[{""origin_value"": """", ""origin_offset"": 0, ""value"": ""沈阳新民"", ""name"": ""location"", ""entity_source"": 0}]",,other_failed,other_failed,-1,-1,沈阳新民天气如何,[],0.0,0.0,0.0,11576_auto_test_aie_bvt_guid_372e8692714d40d28b7bd946f3db9256
1363673953506091008,今天莆田天气怎么样,tianqi_5-1362970384020725760,general_search,1362970384020725760,1362970530309693440,<datetime>今天</datetime><location>莆田</location>天气怎么样,"[{""origin_value"": """", ""origin_offset"": 0, ""value"": ""今天"", ""name"": ""datetime"", ""entity_source"": 0}, {""origin_value"": """", ""origin_offset"": 2, ""value"": ""莆田"", ""name"": ""location"", ""entity_source"": 0}]",,other_failed,other_failed,-1,-1,今天莆田天气怎么样,[],0.0,0.0,0.0,11576_auto_test_aie_bvt_guid_b5a36c0cf7c34c4f9d31d06472cf640d
1363673953350901760,费城天气情况,tianqi_5-1362970384020725760,general_search,1362970384020725760,1362970530309693440,<location>费城</location>天气情况,"[{""origin_value"": """", ""origin_offset"": 0, ""value"": ""费城"", ""name"": ""location"", ""entity_source"": 0}]",,other_failed,other_failed,-1,-1,费城天气情况,[],0.0,0.0,0.0,11576_auto_test_aie_bvt_guid_53efea954f4648ef8e4f1d02b00de022
1363673953262821376,近三天漯河天气,tianqi_5-1362970384020725760,general_search,1362970384020725760,1362970530309693440,<datetime>近三天</datetime><location>漯河</location>天气,"[{""origin_value"": """", ""origin_offset"": 0, ""value"": ""近三天"", ""name"": ""datetime"", ""entity_source"": 0}, {""origin_value"": """", ""origin_offset"": 3, ""value"": ""漯河"", ""name"": ""location"", ""entity_source"": 0}]",,other_failed,other_failed,-1,-1,近三天漯河天气,[],0.0,0.0,0.0,11576_auto_test_aie_bvt_guid_d8774cdf888c4b6f909050715147c684
1363673953069883392,西安的天气有多高,tianqi_5-1362970384020725760,general_search,1362970384020725760,1362970530309693440,<location>西安</location>的天气有多高,"[{""origin_value"": """", ""origin_offset"": 0, ""value"": ""西安"", ""name"": ""location"", ""entity_source"": 0}]",,other_failed,other_failed,-1,-1,西安的天气有多高,[],0.0,0.0,0.0,11576_auto_test_aie_bvt_guid_f72bba67c1e247aeb77365f31729f966
1363673952944054272,岳阳明天的天气怎么样,tianqi_5-1362970384020725760,general_search,1362970384020725760,1362970530309693440,<location>岳阳</location><datetime>明天</datetime>的天气怎么样,"[{""origin_value"": """", ""origin_offset"": 0, ""value"": ""岳阳"", ""name"": ""location"", ""entity_source"": 0}, {""origin_value"": """", ""origin_offset"": 2, ""value"": ""明天"", ""name"": ""datetime"", ""entity_source"": 0}]",,other_failed,other_failed,-1,-1,岳阳明天的天气怎么样,[],0.0,0.0,0.0,11576_auto_test_aie_bvt_guid_253c647261804bf19c49497855518184
1363673952738533376,今天怎么天气,tianqi_5-1362970384020725760,general_search,1362970384020725760,1362970530309693440,<datetime>今天</datetime>怎么天气,"[{""origin_value"": """", ""origin_offset"": 0, ""value"": ""今天"", ""name"": ""datetime"", ""entity_source"": 0}]",,other_failed,other_failed,-1,-1,今天怎么天气,[],0.0,0.0,0.0,11576_auto_test_aie_bvt_guid_67c162c8c2bb4ed2a409463edba69ec8
1363673952621092864,益阳天气秀,tianqi_5-1362970384020725760,general_search,1362970384020725760,1362970530309693440,<location>益阳</location>天气秀,"[{""origin_value"": """", ""origin_offset"": 0, ""value"": ""益阳"", ""name"": ""location"", ""entity_source"": 0}]",,other_failed,other_failed,-1,-1,益阳天气秀,[],0.0,0.0,0.0,11576_auto_test_aie_bvt_guid_b21be53aabdb44e5a7679cca9ce65675
1363673952491069440,帮我查一下广州近一个礼拜的天气,tianqi_5-1362970384020725760,general_search,1362970384020725760,1362970530309693440,帮我查一下<location>广州</location><datetime>近一个礼拜</datetime>的天气,"[{""origin_value"": """", ""origin_offset"": 5, ""value"": ""广州"", ""name"": ""location"", ""entity_source"": 0}, {""origin_value"": """", ""origin_offset"": 7, ""value"": ""近一个礼拜"", ""name"": ""datetime"", ""entity_source"": 0}]",,other_failed,other_failed,-1,-1,帮我查一下广州近一个礼拜的天气,[],0.0,0.0,0.0,11576_auto_test_aie_bvt_guid_7b6b7c602a864f289f512796a087efe3
1363673952335880192,看一下云南天气,tianqi_5-1362970384020725760,general_search,1362970384020725760,1362970530309693440,看一下<location>云南</location>天气,"[{""origin_value"": """", ""origin_offset"": 3, ""value"": ""云南"", ""name"": ""location"", ""entity_source"": 0}]",,other_failed,other_failed,-1,-1,看一下云南天气,[],0.0,0.0,0.0,11576_auto_test_aie_bvt_guid_76109277cc9149c29b66a26f4adb6507
1363673952214245376,高州天气,tianqi_5-1362970384020725760,general_search,1362970384020725760,1362970530309693440,<location>高州</location>天气,"[{""origin_value"": """", ""origin_offset"": 0, ""value"": ""高州"", ""name"": ""location"", ""entity_source"": 0}]",,other_failed,other_failed,-1,-1,高州天气,[],0.0,0.0,0.0,11576_auto_test_aie_bvt_guid_b06b3c94148a4704b2b17599e447bd9d
1363673952038084608,河南今天的天气如何,tianqi_5-1362970384020725760,general_search,1362970384020725760,1362970530309693440,<location>河南</location><datetime>今天</datetime>的天气如何,"[{""origin_value"": """", ""origin_offset"": 0, ""value"": ""河南"", ""name"": ""location"", ""entity_source"": 0}, {""origin_value"": """", ""origin_offset"": 2, ""value"": ""今天"", ""name"": ""datetime"", ""entity_source"": 0}]",,other_failed,other_failed,-1,-1,河南今天的天气如何,[],0.0,0.0,0.0,11576_auto_test_aie_bvt_guid_4dc78e1ee3394ad2a8c05bbfd5cd588a
1363673951887089664,阳山县天气预报,tianqi_5-1362970384020725760,general_search,1362970384020725760,1362970530309693440,<location>阳山县</location>天气预报,"[{""origin_value"": """", ""origin_offset"": 0, ""value"": ""阳山县"", ""name"": ""location"", ""entity_source"": 0}]",,other_failed,other_failed,-1,-1,阳山县天气预报,[],0.0,0.0,0.0,11576_auto_test_aie_bvt_guid_a8bf49185e104cf0b4f2fd23e64165eb
1363673951761260544,山东淄博明天天气如何,tianqi_5-1362970384020725760,general_search,1362970384020725760,1362970530309693440,<location>山东淄博</location><datetime>明天</datetime>天气如何,"[{""origin_value"": """", ""origin_offset"": 0, ""value"": ""山东淄博"", ""name"": ""location"", ""entity_source"": 0}, {""origin_value"": """", ""origin_offset"": 4, ""value"": ""明天"", ""name"": ""datetime"", ""entity_source"": 0}]",[location][datetime]天气,tianqi_5-1362970384020725760,general_search,1362970384020725760,1362970530309693440,<location>山东淄博</location><datetime>明天</datetime>天气如何,"[{""origin_value"": ""明天"", ""origin_offset"": 4, ""value"": ""明天"", ""name"": ""datetime"", ""entity_source"": """"}, {""origin_value"": ""山东淄博"", ""origin_offset"": 0, ""value"": ""山东淄博"", ""name"": ""location"", ""entity_source"": 0}]",0.0,0.0,0.9080000519752502,11576_auto_test_aie_bvt_guid_c68de069fb2148fb9b423a3c736ff30a
1363673951547351040,福州市贵啊明天天气怎么样,tianqi_5-1362970384020725760,general_search,1362970384020725760,1362970530309693440,<location>福州市</location>贵啊<datetime>明天</datetime>天气怎么样,"[{""origin_value"": """", ""origin_offset"": 0, ""value"": ""福州市"", ""name"": ""location"", ""entity_source"": 0}, {""origin_value"": """", ""origin_offset"": 5, ""value"": ""明天"", ""name"": ""datetime"", ""entity_source"": 0}]",,other_failed,other_failed,-1,-1,福州市贵啊明天天气怎么样,[],0.0,0.0,0.0,11576_auto_test_aie_bvt_guid_9c5bcab2a65c44b18ffc35ab81e41d6b
