语料ID,语料,人工领域,人工意图,人工领域ID,人工意图ID,人工标注,人工槽位,匹配模式,平台领域,平台意图,平台领域ID,平台意图ID,平台标注,平台槽位,Domain Score,Intent Score,Pattern Score,GUID
1363674142207815680,查明天天气,tianqi_50-1362968915859169280,general_search,1362968915859169280,1362968984591228928,查<datetime>明天</datetime>天气,"[{""origin_value"": """", ""origin_offset"": 1, ""value"": ""明天"", ""name"": ""datetime"", ""entity_source"": 0}]",,other_failed,other_failed,-1,-1,查明天天气,[],0.0,0.0,0.0,11575_auto_test_aie_bvt_guid_366289c31acb474caf3d154620f87963
1363674142115540992,今天张家界是什么天气,tianqi_50-1362968915859169280,general_search,1362968915859169280,1362968984591228928,<datetime>今天</datetime><location>张家界</location>是什么天气,"[{""origin_value"": """", ""origin_offset"": 0, ""value"": ""今天"", ""name"": ""datetime"", ""entity_source"": 0}, {""origin_value"": """", ""origin_offset"": 2, ""value"": ""张家界"", ""name"": ""location"", ""entity_source"": 0}]",[datetime][location]是什么天气,tianqi_50-1362968915859169280,general_search,1362968915859169280,1362968984591228928,<datetime>今天</datetime><location>张家界</location>是什么天气,"[{""origin_value"": ""今天"", ""origin_offset"": 0, ""value"": ""今天"", ""name"": ""datetime"", ""entity_source"": """"}, {""origin_value"": ""张家界"", ""origin_offset"": 2, ""value"": ""张家界"", ""name"": ""location"", ""entity_source"": 1}]",0.0,0.0,0.9220000505447388,11575_auto_test_aie_bvt_guid_07e0c2ca17de4b4393c741b38b570f05
1363674141951963136,襄汾县西贾乡天气预报,tianqi_50-1362968915859169280,general_search,1362968915859169280,1362968984591228928,<location>襄汾县西贾乡</location>天气预报,"[{""origin_value"": """", ""origin_offset"": 0, ""value"": ""襄汾县西贾乡"", ""name"": ""location"", ""entity_source"": 0}]",[location]天气预报,tianqi_50-1362968915859169280,general_search,1362968915859169280,1362968984591228928,<location>襄汾县西贾乡</location>天气预报,"[{""origin_value"": ""襄汾县西贾乡"", ""origin_offset"": 0, ""value"": ""襄汾县西贾乡"", ""name"": ""location"", ""entity_source"": 0}]",0.0,0.0,0.9100000262260437,11575_auto_test_aie_bvt_guid_6c7914b03bf94ee3aee81ff0ae8f7177
1363674141830328320,惠阳区天气,tianqi_50-1362968915859169280,general_search,1362968915859169280,1362968984591228928,<location>惠阳区</location>天气,"[{""origin_value"": """", ""origin_offset"": 0, ""value"": ""惠阳区"", ""name"": ""location"", ""entity_source"": 0}]",[location]天气,tianqi_50-1362968915859169280,general_search,1362968915859169280,1362968984591228928,<location>惠阳区</location>天气,"[{""origin_value"": ""惠阳区"", ""origin_offset"": 0, ""value"": ""惠阳区"", ""name"": ""location"", ""entity_source"": 1}]",0.0,0.0,0.9100000262260437,11575_auto_test_aie_bvt_guid_3c4c99065c2b40cebe8fa71501af62ff
1363674141700304896,明天天要明天天气如何你可知道,tianqi_50-1362968915859169280,general_search,1362968915859169280,1362968984591228928,<datetime>明天</datetime>天要明天天气如何你可知道,"[{""origin_value"": """", ""origin_offset"": 0, ""value"": ""明天"", ""name"": ""datetime"", ""entity_source"": 0}]",,other_failed,other_failed,-1,-1,明天天要明天天气如何你可知道,[],0.0,0.0,0.0,11575_auto_test_aie_bvt_guid_be645cdec2704d999697c3fc8e539506
1363674141557698560,耀州的天气怎么样,tianqi_50-1362968915859169280,general_search,1362968915859169280,1362968984591228928,<location>耀州</location>的天气怎么样,"[{""origin_value"": """", ""origin_offset"": 0, ""value"": ""耀州"", ""name"": ""location"", ""entity_source"": 0}]",[location]的天气怎么样,tianqi_50-1362968915859169280,general_search,1362968915859169280,1362968984591228928,<location>耀州</location>的天气怎么样,"[{""origin_value"": ""耀州"", ""origin_offset"": 0, ""value"": ""耀州"", ""name"": ""location"", ""entity_source"": 1}]",0.0,0.0,0.9624999761581421,11575_auto_test_aie_bvt_guid_8130c9dd33d8448e931eb7e977a9e4e5
1363674141427675136,上海松江天气,tianqi_50-1362968915859169280,general_search,1362968915859169280,1362968984591228928,<location>上海松江</location>天气,"[{""origin_value"": """", ""origin_offset"": 0, ""value"": ""上海松江"", ""name"": ""location"", ""entity_source"": 0}]",[location]天气,tianqi_50-1362968915859169280,general_search,1362968915859169280,1362968984591228928,<location>上海松江</location>天气,"[{""origin_value"": ""上海松江"", ""origin_offset"": 0, ""value"": ""上海松江"", ""name"": ""location"", ""entity_source"": 0}]",0.0,0.0,0.8999999761581421,11575_auto_test_aie_bvt_guid_ae2c791799714eee96142905ae9d7ee8
1363674141276680192,外面什么天气啊,tianqi_50-1362968915859169280,general_search,1362968915859169280,1362968984591228928,外面什么天气啊,[],,other_failed,other_failed,-1,-1,外面什么天气啊,[],0.0,0.0,0.0,11575_auto_test_aie_bvt_guid_cda2ea51e1224abc94d594831ddd2bb9
1363674141150851072,黑河北安市的天气预报明天的天气,tianqi_50-1362968915859169280,general_search,1362968915859169280,1362968984591228928,黑<location>河北安市</location>的天气预报<datetime>明天</datetime>的天气,"[{""origin_value"": """", ""origin_offset"": 1, ""value"": ""河北安市"", ""name"": ""location"", ""entity_source"": 0}, {""origin_value"": """", ""origin_offset"": 10, ""value"": ""明天"", ""name"": ""datetime"", ""entity_source"": 0}]",,other_failed,other_failed,-1,-1,黑河北安市的天气预报明天的天气,[],0.0,0.0,0.0,11575_auto_test_aie_bvt_guid_f31747cd99d44db685caeef15695f1e7
1363674141025021952,黑人后天天气,tianqi_50-1362968915859169280,general_search,1362968915859169280,1362968984591228928,黑人<datetime>后天</datetime>天气,"[{""origin_value"": """", ""origin_offset"": 2, ""value"": ""后天"", ""name"": ""datetime"", ""entity_source"": 0}]",,other_failed,other_failed,-1,-1,黑人后天天气,[],0.0,0.0,0.0,11575_auto_test_aie_bvt_guid_030fa666f6214481aeeff5ad5ac888ca
1363674140899192832,我现在宁波的天气,tianqi_50-1362968915859169280,general_search,1362968915859169280,1362968984591228928,我<datetime>现在</datetime><location>宁波</location>的天气,"[{""origin_value"": """", ""origin_offset"": 1, ""value"": ""现在"", ""name"": ""datetime"", ""entity_source"": 0}, {""origin_value"": """", ""origin_offset"": 3, ""value"": ""宁波"", ""name"": ""location"", ""entity_source"": 0}]",,other_failed,other_failed,-1,-1,我现在宁波的天气,[],0.0,0.0,0.0,11575_auto_test_aie_bvt_guid_3f952955bb5a45e79a76b3afd0285689
1363674140718837760,台州仙居因为来三天天气预报,tianqi_50-1362968915859169280,general_search,1362968915859169280,1362968984591228928,<location>台州仙居</location>因为<datetime>来三天</datetime>天气预报,"[{""origin_value"": """", ""origin_offset"": 0, ""value"": ""台州仙居"", ""name"": ""location"", ""entity_source"": 0}, {""origin_value"": """", ""origin_offset"": 6, ""value"": ""来三天"", ""name"": ""datetime"", ""entity_source"": 0}]",,other_failed,other_failed,-1,-1,台州仙居因为来三天天气预报,[],0.0,0.0,0.0,11575_auto_test_aie_bvt_guid_75239020b760462db553bda26d1f3e08
1363674140609785856,查询一下三明的天气,tianqi_50-1362968915859169280,general_search,1362968915859169280,1362968984591228928,查询一下<location>三明</location>的天气,"[{""origin_value"": """", ""origin_offset"": 4, ""value"": ""三明"", ""name"": ""location"", ""entity_source"": 0}]",,other_failed,other_failed,-1,-1,查询一下三明的天气,[],0.0,0.0,0.0,11575_auto_test_aie_bvt_guid_9867d6df9c6a43ebb819a790dfbfc6bb
1363674140454596608,牡丹江今晚的天气,tianqi_50-1362968915859169280,general_search,1362968915859169280,1362968984591228928,<location>牡丹江</location><datetime>今晚</datetime>的天气,"[{""origin_value"": """", ""origin_offset"": 0, ""value"": ""牡丹江"", ""name"": ""location"", ""entity_source"": 0}, {""origin_value"": """", ""origin_offset"": 3, ""value"": ""今晚"", ""name"": ""datetime"", ""entity_source"": 0}]",[location][datetime]的天气,tianqi_50-1362968915859169280,general_search,1362968915859169280,1362968984591228928,<location>牡丹江</location><datetime>今晚</datetime>的天气,"[{""origin_value"": ""今晚"", ""origin_offset"": 3, ""value"": ""今晚"", ""name"": ""datetime"", ""entity_source"": """"}, {""origin_value"": ""牡丹江"", ""origin_offset"": 0, ""value"": ""牡丹江"", ""name"": ""location"", ""entity_source"": 1}]",0.0,0.0,0.9037500619888306,11575_auto_test_aie_bvt_guid_61659ae960f4429eb853f478befa9d65
1363674140404264960,陕西今天的天气,tianqi_50-1362968915859169280,general_search,1362968915859169280,1362968984591228928,<location>陕西</location><datetime>今天</datetime>的天气,"[{""origin_value"": """", ""origin_offset"": 0, ""value"": ""陕西"", ""name"": ""location"", ""entity_source"": 0}, {""origin_value"": """", ""origin_offset"": 2, ""value"": ""今天"", ""name"": ""datetime"", ""entity_source"": 0}]",[location][datetime]的天气,tianqi_50-1362968915859169280,general_search,1362968915859169280,1362968984591228928,<location>陕西</location><datetime>今天</datetime>的天气,"[{""origin_value"": ""今天"", ""origin_offset"": 2, ""value"": ""今天"", ""name"": ""datetime"", ""entity_source"": """"}, {""origin_value"": ""陕西"", ""origin_offset"": 0, ""value"": ""陕西"", ""name"": ""location"", ""entity_source"": 1}]",0.0,0.0,0.9114286303520203,11575_auto_test_aie_bvt_guid_95fbbef062094e39870752d63f2936a9
1363674140274241536,白银市靖远县天气预报,tianqi_50-1362968915859169280,general_search,1362968915859169280,1362968984591228928,<location>白银市靖远县</location>天气预报,"[{""origin_value"": """", ""origin_offset"": 0, ""value"": ""白银市靖远县"", ""name"": ""location"", ""entity_source"": 0}]",[location]天气预报,tianqi_50-1362968915859169280,general_search,1362968915859169280,1362968984591228928,<location>白银市靖远县</location>天气预报,"[{""origin_value"": ""白银市靖远县"", ""origin_offset"": 0, ""value"": ""白银市靖远县"", ""name"": ""location"", ""entity_source"": 0}]",0.0,0.0,0.9100000262260437,11575_auto_test_aie_bvt_guid_9be2b22ccb2c4d3e95fe5890b42d0bfc
1363674140110663680,武汉的天气如何,tianqi_50-1362968915859169280,general_search,1362968915859169280,1362968984591228928,<location>武汉</location>的天气如何,"[{""origin_value"": """", ""origin_offset"": 0, ""value"": ""武汉"", ""name"": ""location"", ""entity_source"": 0}]",,other_failed,other_failed,-1,-1,武汉的天气如何,[],0.0,0.0,0.0,11575_auto_test_aie_bvt_guid_d3969d86b76344cd968fc7ba16dad6ef
1363674139741564928,一一看下明天的天气,tianqi_50-1362968915859169280,general_search,1362968915859169280,1362968984591228928,一一看下<datetime>明天</datetime>的天气,"[{""origin_value"": """", ""origin_offset"": 4, ""value"": ""明天"", ""name"": ""datetime"", ""entity_source"": 0}]",,other_failed,other_failed,-1,-1,一一看下明天的天气,[],0.0,0.0,0.0,11575_auto_test_aie_bvt_guid_35fd8a6ce98246389ca6c246ab459295
1363674139544432640,重庆江津天气,tianqi_50-1362968915859169280,general_search,1362968915859169280,1362968984591228928,<location>重庆江津</location>天气,"[{""origin_value"": """", ""origin_offset"": 0, ""value"": ""重庆江津"", ""name"": ""location"", ""entity_source"": 0}]",[location]天气,tianqi_50-1362968915859169280,general_search,1362968915859169280,1362968984591228928,<location>重庆江津</location>天气,"[{""origin_value"": ""重庆江津"", ""origin_offset"": 0, ""value"": ""重庆江津"", ""name"": ""location"", ""entity_source"": 0}]",0.0,0.0,0.8999999761581421,11575_auto_test_aie_bvt_guid_8d06cf457ff4416aa23ba7d7ec73ba99
1363674139393437696,上饶天气同,tianqi_50-1362968915859169280,general_search,1362968915859169280,1362968984591228928,<location>上饶</location>天气同,"[{""origin_value"": """", ""origin_offset"": 0, ""value"": ""上饶"", ""name"": ""location"", ""entity_source"": 0}]",,other_failed,other_failed,-1,-1,上饶天气同,[],0.0,0.0,0.0,11575_auto_test_aie_bvt_guid_ad1d49e799aa47eb938ed8ed4697d550
1363674139238248448,七天内的天气,tianqi_50-1362968915859169280,general_search,1362968915859169280,1362968984591228928,<datetime>七天内</datetime>的天气,"[{""origin_value"": """", ""origin_offset"": 0, ""value"": ""七天内"", ""name"": ""datetime"", ""entity_source"": 0}]",,other_failed,other_failed,-1,-1,七天内的天气,[],0.0,0.0,0.0,11575_auto_test_aie_bvt_guid_15ddde93317b42b5aee03ea8e0e44571
1363674139095642112,明天广州天气怎样,tianqi_50-1362968915859169280,general_search,1362968915859169280,1362968984591228928,<datetime>明天</datetime><location>广州</location>天气怎样,"[{""origin_value"": """", ""origin_offset"": 0, ""value"": ""明天"", ""name"": ""datetime"", ""entity_source"": 0}, {""origin_value"": """", ""origin_offset"": 2, ""value"": ""广州"", ""name"": ""location"", ""entity_source"": 0}]",[datetime][location]天气,tianqi_50-1362968915859169280,general_search,1362968915859169280,1362968984591228928,<datetime>明天</datetime><location>广州</location>天气怎样,"[{""origin_value"": ""明天"", ""origin_offset"": 0, ""value"": ""明天"", ""name"": ""datetime"", ""entity_source"": """"}, {""origin_value"": ""广州"", ""origin_offset"": 2, ""value"": ""广州"", ""name"": ""location"", ""entity_source"": 1}]",0.0,0.0,0.9225000143051147,11575_auto_test_aie_bvt_guid_4c3b5f34657246c7ae15d3b4ee312274
1363674138881732608,可以替我报一下天气预报吗,tianqi_50-1362968915859169280,general_search,1362968915859169280,1362968984591228928,可以替我报一下天气预报吗,[],,other_failed,other_failed,-1,-1,可以替我报一下天气预报吗,[],0.0,0.0,0.0,11575_auto_test_aie_bvt_guid_63a7806707614e128e1bbf40d9d543ec
1363674138722349056,北海后天的天气,tianqi_50-1362968915859169280,general_search,1362968915859169280,1362968984591228928,<location>北海</location><datetime>后天</datetime>的天气,"[{""origin_value"": """", ""origin_offset"": 0, ""value"": ""北海"", ""name"": ""location"", ""entity_source"": 0}, {""origin_value"": """", ""origin_offset"": 2, ""value"": ""后天"", ""name"": ""datetime"", ""entity_source"": 0}]",[location][datetime]的天气,tianqi_50-1362968915859169280,general_search,1362968915859169280,1362968984591228928,<location>北海</location><datetime>后天</datetime>的天气,"[{""origin_value"": ""后天"", ""origin_offset"": 2, ""value"": ""后天"", ""name"": ""datetime"", ""entity_source"": """"}, {""origin_value"": ""北海"", ""origin_offset"": 0, ""value"": ""北海"", ""name"": ""location"", ""entity_source"": 1}]",0.0,0.0,0.9114286303520203,11575_auto_test_aie_bvt_guid_80ec28ade34549bca79fd2723d4f894b
1363674138583937024,帮我查一下会宁的天气,tianqi_50-1362968915859169280,general_search,1362968915859169280,1362968984591228928,帮我查一下<location>会宁</location>的天气,"[{""origin_value"": """", ""origin_offset"": 5, ""value"": ""会宁"", ""name"": ""location"", ""entity_source"": 0}]",,other_failed,other_failed,-1,-1,帮我查一下会宁的天气,[],0.0,0.0,0.0,11575_auto_test_aie_bvt_guid_26e21ba1a37545a48ce06338d487e969
1363674138470690816,西安天气怎么样啊,tianqi_50-1362968915859169280,general_search,1362968915859169280,1362968984591228928,<location>西安</location>天气怎么样啊,"[{""origin_value"": """", ""origin_offset"": 0, ""value"": ""西安"", ""name"": ""location"", ""entity_source"": 0}]",[location]天气怎么样,tianqi_50-1362968915859169280,general_search,1362968915859169280,1362968984591228928,<location>西安</location>天气怎么样啊,"[{""origin_value"": ""西安"", ""origin_offset"": 0, ""value"": ""西安"", ""name"": ""location"", ""entity_source"": 1}]",0.0,0.0,0.9624999761581421,11575_auto_test_aie_bvt_guid_239f0ab293cd4c47b5f9be09c4e6857a
1363674138323890176,报下今天天气,tianqi_50-1362968915859169280,general_search,1362968915859169280,1362968984591228928,报下<datetime>今天</datetime>天气,"[{""origin_value"": """", ""origin_offset"": 2, ""value"": ""今天"", ""name"": ""datetime"", ""entity_source"": 0}]",,other_failed,other_failed,-1,-1,报下今天天气,[],0.0,0.0,0.0,11575_auto_test_aie_bvt_guid_5aa02f23277f4436808b0b4892d31490
1363674138181283840,乳源天气,tianqi_50-1362968915859169280,general_search,1362968915859169280,1362968984591228928,<location>乳源</location>天气,"[{""origin_value"": """", ""origin_offset"": 0, ""value"": ""乳源"", ""name"": ""location"", ""entity_source"": 0}]",[location]天气,tianqi_50-1362968915859169280,general_search,1362968915859169280,1362968984591228928,<location>乳源</location>天气,"[{""origin_value"": ""乳源"", ""origin_offset"": 0, ""value"": ""乳源"", ""name"": ""location"", ""entity_source"": 1}]",0.0,0.0,0.925000011920929,11575_auto_test_aie_bvt_guid_705f675a7fd84944be7eb27ecb9dca51
1363674138047066112,无为县天气,tianqi_50-1362968915859169280,general_search,1362968915859169280,1362968984591228928,<location>无为县</location>天气,"[{""origin_value"": """", ""origin_offset"": 0, ""value"": ""无为县"", ""name"": ""location"", ""entity_source"": 0}]",[location]天气,tianqi_50-1362968915859169280,general_search,1362968915859169280,1362968984591228928,<location>无为县</location>天气,"[{""origin_value"": ""无为县"", ""origin_offset"": 0, ""value"": ""无为县"", ""name"": ""location"", ""entity_source"": 1}]",0.0,0.0,0.9100000262260437,11575_auto_test_aie_bvt_guid_defd43199f144c959312eda77b560069
1363674137896071168,合肥市高新区天气,tianqi_50-1362968915859169280,general_search,1362968915859169280,1362968984591228928,<location>合肥市高新区</location>天气,"[{""origin_value"": """", ""origin_offset"": 0, ""value"": ""合肥市高新区"", ""name"": ""location"", ""entity_source"": 0}]",[location]天气,tianqi_50-1362968915859169280,general_search,1362968915859169280,1362968984591228928,<location>合肥市高新区</location>天气,"[{""origin_value"": ""合肥市高新区"", ""origin_offset"": 0, ""value"": ""合肥市高新区"", ""name"": ""location"", ""entity_source"": 1}]",0.0,0.0,0.8875000476837158,11575_auto_test_aie_bvt_guid_a75f49e2f7af4a0c83337a8b389185bf
1363674137736687616,帮我查一下运城天气,tianqi_50-1362968915859169280,general_search,1362968915859169280,1362968984591228928,帮我查一下<location>运城</location>天气,"[{""origin_value"": """", ""origin_offset"": 5, ""value"": ""运城"", ""name"": ""location"", ""entity_source"": 0}]",,other_failed,other_failed,-1,-1,帮我查一下运城天气,[],0.0,0.0,0.0,11575_auto_test_aie_bvt_guid_8093a363586c4e73a22b42e1664b9ede
1363674137623441408,11月22日天气预报,tianqi_50-1362968915859169280,general_search,1362968915859169280,1362968984591228928,<datetime>11月22日</datetime>天气预报,"[{""origin_value"": """", ""origin_offset"": 0, ""value"": ""11月22日"", ""name"": ""datetime"", ""entity_source"": 0}]",,other_failed,other_failed,-1,-1,11月22日天气预报,[],0.0,0.0,0.0,11575_auto_test_aie_bvt_guid_19674b96e84346e088113bfae13f9e90
1363674137413726208,上周会理县明天的天气,tianqi_50-1362968915859169280,general_search,1362968915859169280,1362968984591228928,上周<location>会理县</location><datetime>明天</datetime>的天气,"[{""origin_value"": """", ""origin_offset"": 2, ""value"": ""会理县"", ""name"": ""location"", ""entity_source"": 0}, {""origin_value"": """", ""origin_offset"": 5, ""value"": ""明天"", ""name"": ""datetime"", ""entity_source"": 0}]",,other_failed,other_failed,-1,-1,上周会理县明天的天气,[],0.0,0.0,0.0,11575_auto_test_aie_bvt_guid_fd16012aa9e543c0b9ef1e952a445579
1363674137241759744,青岛天气怎么样呢,tianqi_50-1362968915859169280,general_search,1362968915859169280,1362968984591228928,<location>青岛</location>天气怎么样呢,"[{""origin_value"": """", ""origin_offset"": 0, ""value"": ""青岛"", ""name"": ""location"", ""entity_source"": 0}]",[location]天气怎么样,tianqi_50-1362968915859169280,general_search,1362968915859169280,1362968984591228928,<location>青岛</location>天气怎么样呢,"[{""origin_value"": ""青岛"", ""origin_offset"": 0, ""value"": ""青岛"", ""name"": ""location"", ""entity_source"": 1}]",0.0,0.0,0.9624999761581421,11575_auto_test_aie_bvt_guid_bd673474360640c7b796ea0eb579cbce
1363674137107542016,盘锦市天气预报,tianqi_50-1362968915859169280,general_search,1362968915859169280,1362968984591228928,<location>盘锦市</location>天气预报,"[{""origin_value"": """", ""origin_offset"": 0, ""value"": ""盘锦市"", ""name"": ""location"", ""entity_source"": 0}]",[location]天气预报,tianqi_50-1362968915859169280,general_search,1362968915859169280,1362968984591228928,<location>盘锦市</location>天气预报,"[{""origin_value"": ""盘锦市"", ""origin_offset"": 0, ""value"": ""盘锦市"", ""name"": ""location"", ""entity_source"": 1}]",0.0,0.0,0.9357143640518188,11575_auto_test_aie_bvt_guid_c5fde485a3e04811866fbb72439c4e4c
1363674137011073024,今天怎么天气,tianqi_50-1362968915859169280,general_search,1362968915859169280,1362968984591228928,<datetime>今天</datetime>怎么天气,"[{""origin_value"": """", ""origin_offset"": 0, ""value"": ""今天"", ""name"": ""datetime"", ""entity_source"": 0}]",,other_failed,other_failed,-1,-1,今天怎么天气,[],0.0,0.0,0.0,11575_auto_test_aie_bvt_guid_18f07ad292b94c6ba5fb6b5e8e34e000
1363674136872660992,给我播放一下明天的天气快点,tianqi_50-1362968915859169280,general_search,1362968915859169280,1362968984591228928,给我播放一下<datetime>明天</datetime>的天气快点,"[{""origin_value"": """", ""origin_offset"": 6, ""value"": ""明天"", ""name"": ""datetime"", ""entity_source"": 0}]",,other_failed,other_failed,-1,-1,给我播放一下明天的天气快点,[],0.0,0.0,0.0,11575_auto_test_aie_bvt_guid_7fdea23cfb1d460cb59c8dccc0436a28
